[2025-11-27 16:11:49.360095] T1 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:11:49.562705] T1 | ACCESS | Object: test_users | Action: WRITE | Status: ALLOWED
[2025-11-27 16:11:49.563206] T1 | ACCESS | Object: test_users | Action: READ | Status: LOGGED
[2025-11-27 16:11:49.631763] T1 | ACCESS | Object: test_users | Action: WRITE | Status: ALLOWED
[2025-11-27 16:11:49.632460] T1 | ACCESS | Object: test_users | Action: READ | Status: LOGGED
[2025-11-27 16:11:49.701152] T1 | ACCESS | Object: test_users | Action: WRITE | Status: ALLOWED
[2025-11-27 16:11:49.701793] T1 | ACCESS | Object: test_users | Action: READ | Status: LOGGED
[2025-11-27 16:11:49.765778] T1 | ACCESS | Object: test_users | Action: WRITE | Status: ALLOWED
[2025-11-27 16:11:49.766843] T1 | ACCESS | Object: test_users | Action: READ | Status: LOGGED
[2025-11-27 16:11:49.805167] T1 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:11:49.805535] T1 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:11:49.805876] T1 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:11:49.836206] T2 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:11:49.998926] T2 | ACCESS | Object: test_users | Action: READ | Status: ALLOWED
[2025-11-27 16:11:49.999344] T2 | ACCESS | Object: test_users | Action: READ | Status: LOGGED
[2025-11-27 16:11:50.133497] T2 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:11:50.133906] T2 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:11:50.134127] T2 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:11:50.334176] T3 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:11:50.521631] T3 | ACCESS | Object: test_users | Action: WRITE | Status: ALLOWED
[2025-11-27 16:11:50.522362] T3 | ACCESS | Object: test_users | Action: READ | Status: LOGGED
[2025-11-27 16:11:50.657565] T3 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:11:50.657948] T3 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:11:50.658165] T3 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:12:57.917033] T1 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:12:57.948318] T1 | FAILED | Object:  | Action: N/A | Status: 
[2025-11-27 16:12:57.949031] T1 | ABORTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:12:58.007834] T2 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:12:58.065886] T2 | ACCESS | Object: lock_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:12:58.066799] T2 | ACCESS | Object: lock_test | Action: READ | Status: LOGGED
[2025-11-27 16:12:58.123753] T2 | ACCESS | Object: lock_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:12:58.124166] T2 | ACCESS | Object: lock_test | Action: READ | Status: LOGGED
[2025-11-27 16:12:58.177080] T2 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:12:58.177369] T2 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:12:58.177580] T2 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:12:58.210378] T3 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:12:58.301638] T3 | ACCESS | Object: lock_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:12:58.302141] T3 | ACCESS | Object: lock_test | Action: READ | Status: LOGGED
[2025-11-27 16:12:58.739031] T4 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:12:58.861932] T4 | ACCESS | Object: lock_test | Action: WRITE | Status: DENIED
[2025-11-27 16:12:58.899425] T4 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:12:58.899646] T4 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:12:58.899856] T4 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:13:00.346570] T3 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:13:00.346871] T3 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:13:00.347110] T3 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:13:00.379679] T5 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:13:00.438914] T5 | ACCESS | Object: lock_test | Action: READ | Status: ALLOWED
[2025-11-27 16:13:00.439335] T5 | ACCESS | Object: lock_test | Action: READ | Status: LOGGED
[2025-11-27 16:13:00.484270] T5 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:13:00.484574] T5 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:13:00.484783] T5 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:35:34.848863] T1 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:35:34.888186] T1 | FAILED | Object:  | Action: N/A | Status: 
[2025-11-27 16:35:34.888864] T1 | ABORTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:35:34.970458] T2 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:35:35.037499] T2 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:35:35.037911] T2 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:35:35.098698] T2 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:35:35.099117] T2 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:35:35.163586] T2 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:35:35.164074] T2 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:35:35.236427] T2 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:35:35.236783] T2 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:35:35.237055] T2 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:35:35.265285] T3 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:35:35.330747] T3 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:35:35.331143] T3 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:35:35.396084] T3 | ACCESS | Object: buffer_test | Action: READ | Status: ALLOWED
[2025-11-27 16:35:35.396524] T3 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.146250] T1 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.317963] T1 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:36:20.318436] T1 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.383114] T1 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:36:20.383613] T1 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.450860] T1 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:36:20.451355] T1 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.488088] T1 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.488313] T1 | COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.488491] T1 | TERMINATED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.515588] T2 | BEGIN_TRANSACTION | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.579679] T2 | ACCESS | Object: buffer_test | Action: WRITE | Status: ALLOWED
[2025-11-27 16:36:20.580352] T2 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.660132] T2 | ACCESS | Object: buffer_test | Action: READ | Status: ALLOWED
[2025-11-27 16:36:20.660653] T2 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.706207] T2 | ACCESS | Object: buffer_test | Action: READ | Status: ALLOWED
[2025-11-27 16:36:20.706753] T2 | ACCESS | Object: buffer_test | Action: READ | Status: LOGGED
[2025-11-27 16:36:20.746048] T2 | PARTIALLY_COMMITTED | Object:  | Action: N/A | Status: 
[2025-11-27 16:36:20.746268] T2 | COMMITTED | Object:  | Action: N/A | Status: 
